match_key,structure,system_type,system_id,temp,avg_energy,energy_std,delta,phase,run_id
g-1535-sn8pt6o4/cv-1/t500.r6.gpu0,Cv,Cv,Cv,500,-90779.23002259,0.70942694,0.0687,solid,
g-1535-sn8pt6o4/cv-1/t550.r7.gpu0,Cv,Cv,Cv,550,-90776.98573839,0.79958501,0.137988,premelting,
g-1535-sn8pt6o4/cv-1/t650.r9.gpu0,Cv,Cv,Cv,650,-90772.72711312,0.88643463,0.066494,solid,
g-1535-sn8pt6o4/cv-1/t600.r8.gpu0,Cv,Cv,Cv,600,-90774.67131068,0.83405957,0.085264,solid,
g-1535-sn8pt6o4/cv-1/t700.r10.gpu0,Cv,Cv,Cv,700,-90771.37474034,1.16485433,0.084859,solid,
g-1535-sn8pt6o4/cv-1/t800.r12.gpu0,Cv,Cv,Cv,800,-90765.96613138,1.10380531,0.135214,premelting,
g-1535-sn8pt6o4/cv-1/t850.r13.gpu0,Cv,Cv,Cv,850,-90763.85210687,1.18102685,0.209001,liquid,
g-1535-sn8pt6o4/cv-1/t750.r11.gpu0,Cv,Cv,Cv,750,-90768.63042114,1.04349032,0.149014,premelting,
g-1535-sn8pt6o4/cv-1/t900.r14.gpu0,Cv,Cv,Cv,900,-90762.10409937,1.27662937,0.144362,premelting,
g-1535-sn8pt6o4/cv-1/t950.r15.gpu0,Cv,Cv,Cv,950,-90759.76088788,1.33071396,0.227164,liquid,
g-1535-sn8pt6o4/cv-2/t1050.r17.gpu0,Cv,Cv,Cv,1050,-90755.71412126,1.5248608,0.258719,liquid,
g-1535-sn8pt6o4/cv-2/t1000.r16.gpu0,Cv,Cv,Cv,1000,-90757.82598578,1.3655837,0.146122,premelting,
g-1535-sn8pt6o4/cv-2/t1100.r18.gpu0,Cv,Cv,Cv,1100,-90752.44456567,1.51095899,0.305679,liquid,
g-1535-sn8pt6o4/cv-2/t200.r0.gpu0,Cv,Cv,Cv,200,-90791.09780876,0.26187249,0.050184,solid,
g-1535-sn8pt6o4/cv-2/t250.r1.gpu0,Cv,Cv,Cv,250,-90788.97733451,0.32927298,0.064931,solid,
g-1535-sn8pt6o4/cv-2/t300.r2.gpu0,Cv,Cv,Cv,300,-90786.89910268,0.40569869,0.094038,solid,
g-1535-sn8pt6o4/cv-2/t350.r3.gpu0,Cv,Cv,Cv,350,-90784.75194525,0.48564229,0.093928,solid,
g-1535-sn8pt6o4/cv-2/t400.r4.gpu0,Cv,Cv,Cv,400,-90782.98546434,0.56198066,0.059185,solid,
g-1535-sn8pt6o4/cv-2/t500.r6.gpu0,Cv,Cv,Cv,500,-90779.13931603,0.70384707,0.054067,solid,
g-1535-sn8pt6o4/cv-2/t450.r5.gpu0,Cv,Cv,Cv,450,-90781.00751319,0.74293174,0.096118,solid,
g-1535-sn8pt6o4/cv-2/t550.r7.gpu0,Cv,Cv,Cv,550,-90776.43082437,0.80201268,0.169208,liquid,
g-1535-sn8pt6o4/cv-2/t600.r8.gpu0,Cv,Cv,Cv,600,-90774.68738703,0.82329147,0.07217,solid,
g-1535-sn8pt6o4/cv-2/t650.r9.gpu0,Cv,Cv,Cv,650,-90772.58480145,0.89571864,0.102174,premelting,
g-1535-sn8pt6o4/cv-2/t700.r10.gpu0,Cv,Cv,Cv,700,-90770.355988,1.03682073,0.165592,liquid,
g-1535-sn8pt6o4/cv-2/t750.r11.gpu0,Cv,Cv,Cv,750,-90768.50116018,1.07059928,0.178851,liquid,
g-1535-sn8pt6o4/cv-2/t800.r12.gpu0,Cv,Cv,Cv,800,-90766.85420503,1.14910776,0.098198,solid,
g-1535-sn8pt6o4/cv-2/t900.r14.gpu0,Cv,Cv,Cv,900,-90761.77288597,1.39200778,0.253718,liquid,
g-1535-sn8pt6o4/cv-2/t850.r13.gpu0,Cv,Cv,Cv,850,-90764.08078362,1.17724139,0.190845,liquid,
g-1535-sn8pt6o4/cv-2/t950.r15.gpu0,Cv,Cv,Cv,950,-90759.7867292,1.32182973,0.301712,liquid,
g-1535-sn8pt6o4/cv-3/t1000.r16.gpu0,Cv,Cv,Cv,1000,-90757.67728524,1.35460796,0.215953,liquid,
g-1535-sn8pt6o4/cv-3/t1050.r17.gpu0,Cv,Cv,Cv,1050,-90755.45959081,1.45632252,0.222937,liquid,
g-1535-sn8pt6o4/cv-3/t1100.r18.gpu0,Cv,Cv,Cv,1100,-90753.11419839,1.50712918,0.271707,liquid,
g-1535-sn8pt6o4/cv-3/t200.r0.gpu0,Cv,Cv,Cv,200,-90791.10925883,0.2638671,0.04052,solid,
g-1535-sn8pt6o4/cv-3/t250.r1.gpu0,Cv,Cv,Cv,250,-90788.95963866,0.32791552,0.051462,solid,
g-1535-sn8pt6o4/cv-3/t300.r2.gpu0,Cv,Cv,Cv,300,-90786.92455792,0.40670916,0.068766,solid,
g-1535-sn8pt6o4/cv-3/t350.r3.gpu0,Cv,Cv,Cv,350,-90784.7353688,0.47153348,0.069397,solid,
g-1535-sn8pt6o4/cv-3/t400.r4.gpu0,Cv,Cv,Cv,400,-90782.70472394,0.53917415,0.105515,premelting,
g-1535-sn8pt6o4/cv-3/t450.r5.gpu0,Cv,Cv,Cv,450,-90781.13537922,0.68271812,0.087656,solid,
g-1535-sn8pt6o4/cv-3/t500.r6.gpu0,Cv,Cv,Cv,500,-90778.94070479,0.73567827,0.068209,solid,
g-1535-sn8pt6o4/cv-3/t550.r7.gpu0,Cv,Cv,Cv,550,-90776.99055716,0.87231751,0.130517,premelting,
g-1535-sn8pt6o4/cv-3/t600.r8.gpu0,Cv,Cv,Cv,600,-90774.70611512,0.82905043,0.133171,premelting,
g-1535-sn8pt6o4/cv-3/t650.r9.gpu0,Cv,Cv,Cv,650,-90772.60138936,0.89542042,0.149713,premelting,
g-1535-sn8pt6o4/cv-3/t700.r10.gpu0,Cv,Cv,Cv,700,-90770.60361251,0.9854216,0.111302,premelting,
g-1535-sn8pt6o4/cv-3/t750.r11.gpu0,Cv,Cv,Cv,750,-90768.49194034,1.06582898,0.161372,liquid,
g-1535-sn8pt6o4/cv-3/t800.r12.gpu0,Cv,Cv,Cv,800,-90766.43949155,1.10850088,0.210003,liquid,
g-1535-sn8pt6o4/cv-3/t850.r13.gpu0,Cv,Cv,Cv,850,-90763.81514222,1.21317721,0.247157,liquid,
g-1535-sn8pt6o4/cv-3/t900.r14.gpu0,Cv,Cv,Cv,900,-90761.84824702,1.29400682,0.175485,liquid,
g-1535-sn8pt6o4/cv-3/t950.r15.gpu0,Cv,Cv,Cv,950,-90759.81154157,1.31040278,0.209724,liquid,
g-1535-sn8pt6o4/cv-4/t1000.r16.gpu0,Cv,Cv,Cv,1000,-90757.25536728,1.41657167,0.281772,liquid,
g-1535-sn8pt6o4/cv-4/t1050.r17.gpu0,Cv,Cv,Cv,1050,-90755.10154446,1.53877491,0.247098,liquid,
g-1535-sn8pt6o4/cv-4/t1100.r18.gpu0,Cv,Cv,Cv,1100,-90753.25970013,1.50267486,0.245989,liquid,
g-1535-sn8pt6o4/cv-4/t200.r0.gpu0,Cv,Cv,Cv,200,-90791.11182117,0.26288961,0.039797,solid,
g-1535-sn8pt6o4/cv-4/t250.r1.gpu0,Cv,Cv,Cv,250,-90788.96006591,0.32889714,0.073152,solid,
g-1535-sn8pt6o4/cv-4/t350.r3.gpu0,Cv,Cv,Cv,350,-90784.70717882,0.45869264,0.085642,solid,
g-1535-sn8pt6o4/cv-4/t300.r2.gpu0,Cv,Cv,Cv,300,-90786.85425351,0.39329811,0.085958,solid,
g-1535-sn8pt6o4/cv-4/t400.r4.gpu0,Cv,Cv,Cv,400,-90783.33389708,0.65024579,0.073001,solid,
g-1535-sn8pt6o4/cv-4/t450.r5.gpu0,Cv,Cv,Cv,450,-90781.33281286,0.65299543,0.055835,solid,
g-1535-sn8pt6o4/cv-4/t500.r6.gpu0,Cv,Cv,Cv,500,-90779.20366402,0.80303171,0.065714,solid,
g-1535-sn8pt6o4/cv-4/t550.r7.gpu0,Cv,Cv,Cv,550,-90776.52185633,0.7756858,0.14179,premelting,
g-1535-sn8pt6o4/cv-4/t600.r8.gpu0,Cv,Cv,Cv,600,-90774.61551855,0.82985585,0.093109,solid,
g-1535-sn8pt6o4/cv-4/t650.r9.gpu0,Cv,Cv,Cv,650,-90772.49987458,0.90523799,0.179483,liquid,
g-1535-sn8pt6o4/cv-4/t750.r11.gpu0,Cv,Cv,Cv,750,-90768.49319637,1.03910929,0.178615,liquid,
g-1535-sn8pt6o4/cv-4/t700.r10.gpu0,Cv,Cv,Cv,700,-90770.79370052,1.03192898,0.105082,premelting,
g-1535-sn8pt6o4/cv-4/t800.r12.gpu0,Cv,Cv,Cv,800,-90765.99166825,1.11574983,0.20565,liquid,
g-1535-sn8pt6o4/cv-4/t850.r13.gpu0,Cv,Cv,Cv,850,-90764.57428067,1.20268065,0.155904,liquid,
g-1535-sn8pt6o4/cv-4/t900.r14.gpu0,Cv,Cv,Cv,900,-90761.83147335,1.25788398,0.146146,premelting,
g-1535-sn8pt6o4/cv-5/t1000.r16.gpu0,Cv,Cv,Cv,1000,-90757.66048789,1.35952119,0.172038,liquid,
g-1535-sn8pt6o4/cv-4/t950.r15.gpu0,Cv,Cv,Cv,950,-90759.68223634,1.29787519,0.225423,liquid,
g-1535-sn8pt6o4/cv-5/t1050.r17.gpu0,Cv,Cv,Cv,1050,-90755.25771279,1.49799581,0.275453,liquid,
g-1535-sn8pt6o4/cv-5/t1100.r18.gpu0,Cv,Cv,Cv,1100,-90752.87361844,1.53236534,0.324013,liquid,
g-1535-sn8pt6o4/cv-5/t200.r0.gpu0,Cv,Cv,Cv,200,-90791.10994636,0.26204714,0.033657,solid,
g-1535-sn8pt6o4/cv-5/t250.r1.gpu0,Cv,Cv,Cv,250,-90788.99356634,0.32616678,0.036721,solid,
g-1535-sn8pt6o4/cv-5/t300.r2.gpu0,Cv,Cv,Cv,300,-90787.09087692,0.42115688,0.044662,solid,
g-1535-sn8pt6o4/cv-5/t350.r3.gpu0,Cv,Cv,Cv,350,-90785.00127134,0.48501048,0.044327,solid,
g-1535-sn8pt6o4/cv-5/t400.r4.gpu0,Cv,Cv,Cv,400,-90783.00537879,0.63582328,0.111717,premelting,
g-1535-sn8pt6o4/cv-5/t450.r5.gpu0,Cv,Cv,Cv,450,-90780.93844555,0.63148021,0.063879,solid,
g-1535-sn8pt6o4/cv-5/t500.r6.gpu0,Cv,Cv,Cv,500,-90778.79264659,0.68653945,0.062707,solid,
g-1535-sn8pt6o4/cv-5/t550.r7.gpu0,Cv,Cv,Cv,550,-90777.52325329,1.03101875,0.040405,solid,
g-1535-sn8pt6o4/cv-5/t650.r9.gpu0,Cv,Cv,Cv,650,-90772.60593644,0.90473851,0.107629,premelting,
g-1535-sn8pt6o4/cv-5/t600.r8.gpu0,Cv,Cv,Cv,600,-90774.67433722,0.83845117,0.106356,premelting,
g-1535-sn8pt6o4/cv-5/t700.r10.gpu0,Cv,Cv,Cv,700,-90770.99041611,0.99413266,0.068663,solid,
g-1535-sn8pt6o4/cv-5/t750.r11.gpu0,Cv,Cv,Cv,750,-90768.35601747,1.03047861,0.156886,liquid,
g-1535-sn8pt6o4/cv-5/t850.r13.gpu0,Cv,Cv,Cv,850,-90764.32148925,1.17666538,0.133495,premelting,
g-1535-sn8pt6o4/cv-5/t800.r12.gpu0,Cv,Cv,Cv,800,-90765.95592513,1.10403271,0.224724,liquid,
g-1535-sn8pt6o4/cv-5/t900.r14.gpu0,Cv,Cv,Cv,900,-90762.04868453,1.34807846,0.178945,liquid,
g-1535-sn8pt6o4/cv-5/t950.r15.gpu0,Cv,Cv,Cv,950,-90759.40206362,1.33114435,0.25666,liquid,
pt6-2/pt6sn1/t1000.r8.gpu0,Pt6sn1,Pt6SnX,Pt6sn1,1000,-88339.7285911,1.28181121,0.251569,liquid,
pt6-2/pt6sn1/t1100.r9.gpu0,Pt6sn1,Pt6SnX,Pt6sn1,1100,-88335.55009546,1.4295583,0.238233,liquid,
pt6-2/pt6sn1/t200.r0.gpu0,Pt6sn1,Pt6SnX,Pt6sn1,200,-88372.02291175,0.24754128,0.029181,solid,
pt6-2/pt6sn1/t300.r1.gpu0,Pt6sn1,Pt6SnX,Pt6sn1,300,-88368.02864854,0.37207903,0.035977,solid,
pt6-2/pt6sn1/t400.r2.gpu0,Pt6sn1,Pt6SnX,Pt6sn1,400,-88363.97600513,0.49807032,0.042815,solid,
pt6-2/pt6sn1/t500.r3.gpu0,Pt6sn1,Pt6SnX,Pt6sn1,500,-88360.35063471,0.63993178,0.042471,solid,
