composition,Sn含量,温度,D_cm2_s_Pt,PtSn,D_cm2_s_Sn,每原子能量,相对能量,每原子标准差,Cv_meV_per_K
pt8sn6-1-best,6,800,1.591755e-06,1.670155e-06,1.841937e-06,-6791.672330894285,1.89537822152973,0.08239855305288461,3.2624025336349405
pt8sn6-1-best,6,900,9.662785e-07,1.063915e-06,1.277847e-06,-6745.022554835187,2.221871913257136,0.09183153327307102,3.2846369605658765
pt8sn6-1-best,6,1000,1.277121e-06,1.594212e-06,2.288987e-06,-6746.899216029797,2.5381053249170873,0.10269390756080586,3.297242281813245
pt8sn6-1-best,6,1100,3.087206e-06,3.061539e-06,3.005301e-06,-6743.559914758478,2.8964688596581087,0.11372339147311022,3.313467128443032
pt8sn7-1-best,7,200,-2.265646e-11,5.586343e-10,1.650342e-09,-6122.2978399191015,0.008190391284624638,0.019365820538479853,2.808434265672986
pt8sn7-1-best,7,300,2.250134e-08,1.879764e-08,1.184177e-08,-6117.86714160264,0.2828575610662075,0.028853180415087786,2.8245306623448414
pt8sn7-1-best,7,400,1.704387e-08,1.315534e-08,5.852386e-09,-6128.973558831131,0.5645775917795228,0.03649540592791732,2.844805437614923
pt8sn7-1-best,7,500,9.140206e-08,6.822783e-08,2.470491e-08,-6140.205646838346,0.8378838763266265,0.046459316129525925,2.8813774179661777
pt8sn7-1-best,7,600,1.638655e-07,1.257047e-07,5.40358e-08,-6123.245752671344,1.1347932069831648,0.055491345371415944,2.8954351168149515
pt8sn7-1-best,7,700,1.626906e-07,6.700528e-08,8.122977e-08,-6113.651185715035,1.4191134772350193,0.06494578622561813,2.9363604891841533
pt8sn7-1-best,7,800,3.425875e-07,5.394738e-07,9.092407e-07,-6146.744557135115,1.7173509633843154,0.07387591323034527,2.9796222180257246
pt8sn7-1-best,7,900,5.775496e-07,6.626023e-07,8.223381e-07,-6129.4662849056585,1.9968234064160775,0.08359373301092586,2.995151507923765
pt8sn7-1-best,7,1000,1.001039e-06,8.624868e-07,6.022744e-07,-6205.47011120596,2.3122157255367077,0.09351641105480571,3.0169811589885285
pt8sn7-1-best,7,1100,2.755718e-06,3.323779e-06,4.390644e-06,-6401.450684843296,2.643904122287705,0.10587908620417724,3.0116957070163153
pt8sn8-1-best,8,200,-6.309891e-09,-5.838383e-09,-5.063536e-09,-5667.10531889677,0.00018328252601696433,0.016481139623127028,2.5557303843481805
pt8sn8-1-best,8,300,4.328027e-09,3.341119e-09,1.719337e-09,-5693.528281748926,0.2671328455390207,0.024481777232548817,2.443751047972569
pt8sn8-1-best,8,400,3.152328e-08,3.051283e-08,2.885225e-08,-5714.6811218103385,0.5201676667967426,0.03355727964521678,2.319336028745056
pt8sn8-1-best,8,500,7.183964e-07,8.801455e-07,1.145951e-06,-5714.43014814598,0.7711413311550607,0.04367142726492408,2.4792757265055343
pt8sn8-1-best,8,600,1.321113e-06,1.356019e-06,1.413383e-06,-5736.4035853355035,1.035505743991832,0.05247069454948646,2.522238104458552
pt8sn8-1-best,8,700,1.541783e-06,1.289121e-06,8.739165e-07,-5692.503726308379,1.291688286086632,0.06029275166509357,2.478076822929438
pt8sn8-1-best,8,800,6.954392e-07,1.085049e-06,1.725301e-06,-5703.91002335059,1.5622279255119718,0.06775155770621791,2.5688696443847903
pt8sn8-1-best,8,900,5.462632e-06,5.585823e-06,5.788266e-06,-5692.441503941694,1.830906070934077,0.07803656897999825,2.606966295551274
pt8sn8-1-best,8,1000,2.081607e-06,2.147406e-06,3.123779e-06,-5692.1716633968035,2.100746615824164,0.0848432174477343,2.5790189731247892
pt8sn9-1-best,9,200,1.402662e-08,1.494812e-08,1.629419e-08,-5342.074510650875,0.002839368841648593,0.016065922669117647,2.3963098451743767
pt8sn9-1-best,9,300,1.777066e-08,1.760035e-08,1.735159e-08,-5424.76254382214,0.24348393136107108,0.023802972574618737,2.4936117132862514
pt8sn9-1-best,9,400,7.724331e-07,8.453804e-07,9.519369e-07,-5424.509968527072,0.496059226430134,0.03480753246840959,2.481298407151371
pt8sn9-1-best,9,500,1.26576e-06,1.4546e-06,1.730445e-06,-5386.534220856156,0.7300838192397925,0.04075630104850361,2.4523576989213325
pt8sn9-1-best,9,600,2.164624e-07,3.0881e-07,4.437046e-07,-5386.2933975172655,0.970907158130917,0.04895231392053664,2.5219608698883653
pt8sn9-1-best,9,700,8.207825e-07,1.118463e-06,1.553294e-06,-5386.047699589519,1.216605085877123,0.05614074966305469,2.521045848484391
pt8sn9-1-best,9,800,6.758191e-07,9.054742e-07,1.240938e-06,-5513.146097331952,1.4965227320495842,0.06481312514644608,2.591888799835639
pt8sn9-1-best,9,900,4.200346e-07,,,-5299.481471426851,1.7124434282029921,0.07110475844817928,2.6587794725188965
pt8sn9-1-best,9,1000,7.400411e-06,1.058951e-05,1.054619e-05,-5364.9396734139455,1.993391934169397,0.07942966719677871,2.6391941321389822
