composition,temperature,temp_value,element,n_runs,D_ensemble,R2_ensemble,intercept
Pt5Sn3O1,800K,800,PtSn,1,2.7477421056628818e-06,0.9307382922174491,-0.2167034284131386
Pt5Sn3O1,800K,800,Sn,1,3.3469259963543714e-06,0.9550763842763371,0.3227670399857594
Pt3Sn2O1,1000K,1000,Pt,1,3.6149983222804862e-06,0.9231379298373571,0.8666474887085727
Pt3Sn2O1,1000K,1000,PtSn,1,2.876492888950454e-06,0.9213411908220871,0.8622961188198239
Pt3Sn2O1,1000K,1000,Sn,1,1.0560949239150489e-06,0.8962080770608014,0.8515736127891662
Pt3Sn2O1,200K,200,Pt,2,-2.952882764225901e-10,0.008087929992003995,0.051941823300675045
Pt3Sn2O1,200K,200,PtSn,2,-1.6371492767889913e-10,0.0026824875244744755,0.05564237383267404
Pt3Sn2O1,200K,200,Sn,4,1.4856445121728545e-10,0.002374384723464994,0.05960239046732005
Pt3Sn2O1,300K,300,Pt,3,1.8462581578941037e-09,0.12915916994995125,0.059799521802672506
Pt3Sn2O1,300K,300,PtSn,3,1.356913050587319e-09,0.0992721192372135,0.06518126965213976
Pt3Sn2O1,300K,300,Sn,1,-2.0369391217254996e-09,0.08638669246534528,0.09532758021455084
Pt3Sn2O1,400K,400,Pt,1,-4.8405047508041745e-09,0.2908313528311619,0.11725173807032666
Pt3Sn2O1,400K,400,PtSn,1,-4.3105692337452364e-09,0.23852948603808158,0.1277331116266041
Pt3Sn2O1,400K,400,Sn,1,-3.0042921019711884e-09,0.04627935836018511,0.1535694019447571
Pt3Sn2O1,600K,600,Pt,1,-3.891014725408386e-09,0.08596106038234097,0.16171144847850352
Pt3Sn2O1,600K,600,PtSn,1,-4.843882209888884e-09,0.12253245586447299,0.18042138359814414
Pt3Sn2O1,600K,600,Sn,1,-7.192653165092724e-09,0.13661379369409604,0.22654078008581294
Pt3Sn2O1,700K,700,Pt,1,6.763835537926299e-09,0.1302889803518357,0.15296231428964358
Pt3Sn2O1,700K,700,PtSn,1,7.677496620807317e-09,0.19582380486152842,0.1652516459449097
Pt3Sn2O1,700K,700,Sn,1,9.92964587281495e-09,0.17686722913208544,0.19554444246248284
Pt3Sn2O1,800K,800,Pt,2,-1.7083162909995656e-08,0.07840729202368704,0.41353192657446153
Pt3Sn2O1,800K,800,PtSn,2,-1.1923614672215942e-08,0.059229422520122206,0.3720613658279742
Pt3Sn2O1,800K,800,Sn,4,-4.4780567626747994e-11,8.946276483133521e-06,0.26251917765619465
Pt3Sn2O1,900K,900,Pt,3,-4.1506471692198876e-09,0.06332995215141458,0.30531755467308724
Pt3Sn2O1,900K,900,PtSn,3,-3.657527661918877e-09,0.060913709578368946,0.30794760542780264
Pt3Sn2O1,900K,900,Sn,1,-2.2714193488983564e-08,0.3623377826607602,0.4668150503081253
Pt2Sn2O1,1100K,1100,Pt,2,2.2203051636979695e-06,0.9288563975540334,2.8200553446481837
Pt2Sn2O1,1100K,1100,PtSn,2,1.5185178892104753e-06,0.9269548441972042,2.1314091520983496
Pt2Sn2O1,1100K,1100,Sn,2,3.6526005245611285e-07,0.8424968373796025,0.9997441929770616
Pt2Sn2O1,200K,200,Pt,2,-2.1808066661732262e-09,0.10504867318234765,0.09380916082741092
Pt2Sn2O1,200K,200,PtSn,2,-1.4040703447151904e-09,0.05528452415074795,0.09046843067014917
Pt2Sn2O1,200K,200,Sn,2,-8.548639547921043e-10,0.015846685660027837,0.08297410470650847
Pt2Sn2O1,600K,600,Pt,2,8.995899717277552e-09,0.0664443424132931,0.297639760219159
Pt2Sn2O1,600K,600,PtSn,2,8.059603037151692e-09,0.07371021868226557,0.28576381679263646
Pt2Sn2O1,600K,600,Sn,2,6.5209704973974845e-09,0.07431273181639034,0.2662479017287268
Pt2Sn2O1,800K,800,Pt,1,3.695391667073007e-07,0.6945332762652919,0.10610813514393591
Pt2Sn2O1,800K,800,PtSn,1,2.9947454620312125e-07,0.6941308094051524,0.17667297535793702
Pt2Sn2O1,800K,800,Sn,1,1.8433623910376636e-07,0.6793875589393112,0.29263347627968084
Pt2Sn2O1,900K,900,Pt,1,1.9067514328578747e-06,0.8584987709792623,-0.47848850391955366
Pt2Sn2O1,900K,900,PtSn,1,1.5330167897899076e-06,0.8588482896347724,-0.28079653888478706
Pt2Sn2O1,900K,900,Sn,1,9.188544667879934e-07,0.8539380713604393,0.044068048477685196
g-1-O1Sn4Pt3,1000K,1000,Pt,1,2.4793035547102686e-06,0.7905766681876462,17.34196960557808
g-1-O1Sn4Pt3,1000K,1000,PtSn,1,2.2987674671918565e-06,0.8087802428325405,15.162648028215761
g-1-O1Sn4Pt3,1000K,1000,Sn,1,2.0762604480920653e-06,0.7952461665256257,12.47665371457522
g-1-O1Sn4Pt3,1100K,1100,Pt,3,1.226660016570951e-06,0.9401408456212805,5.297674797814124
g-1-O1Sn4Pt3,1100K,1100,PtSn,5,6.288254296762395e-07,0.9429168012087806,3.8904546276316285
g-1-O1Sn4Pt3,1100K,1100,Sn,5,3.1024345421480897e-07,0.7513376036361821,2.362129481306326
g-1-O1Sn4Pt3,200K,200,Pt,2,-2.1785199612182756e-08,0.33256370585192135,0.44086944747226575
g-1-O1Sn4Pt3,200K,200,PtSn,1,-5.699519013417135e-08,0.35786938300657334,0.8660753718482828
g-1-O1Sn4Pt3,200K,200,Sn,1,-6.555349673206829e-08,0.3224214093073676,0.9745220907103052
g-1-O1Sn4Pt3,400K,400,Pt,1,1.5284692489383925e-07,0.5542389841600274,0.364981498653454
g-1-O1Sn4Pt3,400K,400,PtSn,3,5.28847432579351e-08,0.3199033531745076,0.6844009061256144
g-1-O1Sn4Pt3,400K,400,Sn,3,5.121393318650624e-08,0.27264283315703397,0.751853019951354
g-1-O1Sn4Pt3,500K,500,Pt,2,1.4466282876018957e-08,0.00975869454308633,1.3118976873209571
g-1-O1Sn4Pt3,500K,500,PtSn,4,1.5961657797584144e-08,0.03999292310617011,1.0386806906432189
g-1-O1Sn4Pt3,500K,500,Sn,4,2.116186204449958e-08,0.08214715858403274,1.0742990977096536
g-1-O1Sn4Pt3,600K,600,Pt,2,6.654351486270802e-07,0.8141382466435422,3.6143129197965664
g-1-O1Sn4Pt3,600K,600,PtSn,2,5.493599981938766e-07,0.7983675467845247,3.596306628048158
g-1-O1Sn4Pt3,600K,600,Sn,2,4.062991384028039e-07,0.7533779658113616,3.574113150443346
g-1-O1Sn4Pt3,900K,900,Pt,3,1.0776963973062272e-06,0.6630001519700394,12.205042555715181
g-1-O1Sn4Pt3,900K,900,PtSn,5,9.934358415612893e-07,0.8009800083416453,8.7533818950422
g-1-O1Sn4Pt3,900K,900,Sn,5,8.928582668482415e-07,0.8232262697619008,7.804888492418707
pt7sn1-1,1000K,1000,Pt,1,1.379842487558121e-06,0.8565518373537584,9.385844424925397
pt7sn1-1,1000K,1000,PtSn,1,1.1911655439911664e-06,0.7585896500711294,10.70194461924978
pt7sn1-1,1000K,1000,Sn,1,-9.79221021807373e-07,0.14340593939597904,25.841308794280433
pt7sn1-1,1100K,1100,Pt,3,6.871896979357062e-07,0.5900013851278995,11.12285489540754
pt7sn1-1,1100K,1100,PtSn,3,6.784415762748569e-07,0.562244216240074,11.452705573095349
pt7sn1-1,1100K,1100,Sn,3,5.778103993311075e-07,0.21551395040772825,15.247027779947777
