composition,temperature,element,n_runs_total,n_runs_outlier,n_runs_clean,D_all,r2_all,D_clean,r2_clean,delta_r2,delta_D,delta_D_pct,improved
O2Pt4Sn6,400K,Sn,6,0,6,4.339881386200415e-08,0.6889259097938195,4.339881386200415e-08,0.6889259097938195,0.0,0.0,0.0,False
O2Pt4Sn6,500K,Pt,6,2,4,3.230703361321563e-07,0.85314615313435,2.8323474943427453e-07,0.9253536037836025,0.07220745064925249,-3.983558669788177e-08,-12.330313941787116,True
O2Pt4Sn6,500K,PtSn,6,2,4,2.2927348048841332e-07,0.8276378313106257,1.7457276282721136e-07,0.9046996526581658,0.07706182134754003,-5.470071766120195e-08,-23.858283803549767,True
O2Pt4Sn6,500K,Sn,6,2,4,1.2651492948113504e-07,0.7296782351792452,5.5528848260345316e-08,0.5574567266189622,-0.17222150856028307,-7.098608122078973e-08,-56.10885728025848,False
O2Pt4Sn6,600K,Pt,6,1,5,7.413723576314873e-07,0.9134786458815116,2.891194910676461e-07,0.6113153189030242,-0.30216332697848747,-4.522528665638412e-07,-61.0021215261767,False
O2Pt4Sn6,600K,PtSn,6,1,5,5.808353901761589e-07,0.9277788814140184,2.321067381002551e-07,0.5877595916013092,-0.34001928981270924,-3.487286520759038e-07,-60.039153600840244,False
O2Pt4Sn6,600K,Sn,6,1,5,4.0496008662425454e-07,0.9399190084230143,1.6964679528711615e-07,0.5052829259702926,-0.4346360824527218,-2.353132913371384e-07,-58.10777385463069,False
O2Pt4Sn6,700K,Pt,6,1,5,5.220296759378812e-07,0.9351121614891766,2.748893363899675e-07,0.5356753608447837,-0.3994368006443929,-2.471403395479137e-07,-47.3422012079869,False
O2Pt4Sn6,700K,PtSn,6,1,5,3.516268588082855e-07,0.8779308855481471,1.7064751645159972e-07,0.37354276742518167,-0.5043881181229655,-1.8097934235668578e-07,-51.46914629048847,False
O2Pt4Sn6,700K,Sn,6,1,5,1.6494310645791394e-07,0.5759717181153944,5.64460693649772e-08,0.07499295944534928,-0.5009787586700452,-1.0849703709293674e-07,-65.77846108447115,False
O2Pt4Sn6,800K,Pt,6,1,5,3.239124506702251e-07,0.6588818256898791,1.3320279477061927e-07,0.40022580710551214,-0.25865601858436693,-1.907096558996058e-07,-58.876914272667804,False
O2Pt4Sn6,800K,PtSn,6,1,5,1.9543086952741155e-07,0.5766492193477566,5.169444475178182e-08,0.13059647427940635,-0.44605274506835024,-1.4373642477562972e-07,-73.5484752860238,False
O2Pt4Sn6,800K,Sn,6,1,5,5.4673712296597664e-08,0.13582988675029334,-3.7601473934911394e-08,0.08260961264760008,-0.053220274102693255,-9.227518623150906e-08,-168.77432015394962,False
O2Pt4Sn6,900K,Pt,6,1,5,9.354379155338002e-07,0.9568637879628424,2.194149187928401e-07,0.4544032875168085,-0.502460500446034,-7.160229967409602e-07,-76.54414952085487,False
O2Pt4Sn6,900K,PtSn,6,1,5,8.043763801798832e-07,0.9687259450386484,2.545616223650164e-07,0.6103968155440547,-0.3583291294945937,-5.498147578148667e-07,-68.35292176181396,False
O2Pt4Sn6,900K,Sn,6,1,5,6.607929613866541e-07,0.9688600980954523,2.9306663013712904e-07,0.6850157206420842,-0.2838443774533681,-3.6772633124952506e-07,-55.64925063333944,False
O2Pt7Sn7,1000K,Pt,6,1,5,1.6085965295505864e-06,0.9816212469140917,2.195209065667891e-06,0.9782366633796571,-0.0033845835344346042,5.866125361173045e-07,36.46735059668404,False
O2Pt7Sn7,1000K,PtSn,6,1,5,1.4677245517733379e-06,0.9815091562975993,1.9097312969778243e-06,0.980904037972945,-0.0006051183246542635,4.4200674520448643e-07,30.115101956320338,False
O2Pt7Sn7,1000K,Sn,6,1,5,1.236227717260862e-06,0.9600239581682671,1.440601774508923e-06,0.9638480872983336,0.003824129130066467,2.0437405724806093e-07,16.532072076566703,True
O2Pt7Sn7,1100K,Pt,6,4,2,2.2889482884035236e-06,0.9581116638018271,2.2889482884035236e-06,0.9581116638018271,0.0,0.0,0.0,False
O2Pt7Sn7,1100K,PtSn,6,4,2,2.224453011592281e-06,0.9672124508556575,2.224453011592281e-06,0.9672124508556575,0.0,0.0,0.0,False
