composition,temperature,temp_value,element,n_runs,n_runs_original,n_runs_filtered,D_ensemble,R2_ensemble,intercept
Sn7Pt4O3,300K,300,Pt,5,6,1,1.1666340840042705e-08,0.1598643037523268,0.6281737437551531
Sn7Pt4O3,300K,300,PtSn,5,6,1,9.494922309071149e-09,0.16091391930165813,0.5302848297871608
Sn7Pt4O3,300K,300,Sn,5,6,1,7.455868500224454e-09,0.15435614163163963,0.43836362540789375
Sn7Pt4O3,400K,400,Pt,5,6,1,1.312568380663897e-07,0.8925169471073411,0.7357593039513676
Sn7Pt4O3,400K,400,PtSn,5,6,1,8.83184992657795e-08,0.8752387828418763,0.6921038470667407
Sn7Pt4O3,400K,400,Sn,5,6,1,4.799782218460318e-08,0.7733098900017628,0.6511097781402443
Sn7Pt4O3,500K,500,Pt,3,6,3,1.5255756375398054e-07,0.7511115064434594,1.00601989417334
Sn7Pt4O3,500K,500,PtSn,5,6,1,9.905588200722841e-08,0.7834889757918715,1.0870033585366443
Sn7Pt4O3,500K,500,Sn,5,6,1,7.018279404953052e-08,0.658201771677009,0.9249089470506848
Sn7Pt4O3,600K,600,Pt,6,6,0,1.1546517708766932e-06,0.9900339952289721,1.113876711662372
Sn7Pt4O3,600K,600,PtSn,6,6,0,9.011352236322811e-07,0.9900506819080541,0.9169486527918966
Sn7Pt4O3,600K,600,Sn,6,6,0,6.630740450502902e-07,0.9875222599017236,0.7320252653830317
Sn7Pt4O3,700K,700,Pt,6,6,0,3.8537126282583874e-07,0.9203377656207654,2.318679301571871
Sn7Pt4O3,700K,700,PtSn,6,6,0,3.4253336656913744e-07,0.9308114198188534,1.995617106087926
Sn7Pt4O3,700K,700,Sn,6,6,0,3.0230704631816023e-07,0.9275074396039373,1.6922498821352798
Sn7Pt4O3,800K,800,Pt,6,6,0,8.212749941237213e-07,0.8873500482874797,4.477493072142359
Sn7Pt4O3,800K,800,PtSn,6,6,0,7.166695242843177e-07,0.9057893594962497,3.6241090895325665
Sn7Pt4O3,800K,800,Sn,6,6,0,6.184411705287798e-07,0.9203626380886394,2.822750330616443
