group_key,composition,temperature,element,run_id,gmx_D,filepath,reason
O2Pt7Sn7_200K_Sn,O2Pt7Sn7,200K,Sn,0,-3.0000000000000004e-08,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-2\O2Pt7Sn7\200K\T200.r0.gpu0_msd_Sn.xvg,IQR_outlier
O2Pt7Sn7_200K_Sn,O2Pt7Sn7,200K,Sn,0,9.5e-08,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt7Sn7\200K\T200.r0.gpu0_msd_Sn.xvg,IQR_outlier
O2Pt7Sn7_700K_Sn,O2Pt7Sn7,700K,Sn,17,8.250000000000001e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Pt7Sn7\700K\T700.r17.gpu0_msd_Sn.xvg,IQR_outlier
O2Sn8Pt7_1000K_Pt,O2Sn8Pt7,1000K,Pt,24,2.9110000000000006e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Sn8Pt7\1000K\T1000.r24.gpu0_msd_Pt.xvg,IQR_outlier
O2Sn8Pt7_1000K_Pt,O2Sn8Pt7,1000K,Pt,8,5.3e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-2\O2Sn8Pt7\1000K\T1000.r8.gpu0_msd_Pt.xvg,Intercept>10.0A²
O2Sn8Pt7_1000K_PtSn,O2Sn8Pt7,1000K,PtSn,24,2.536e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Sn8Pt7\1000K\T1000.r24.gpu0_msd_PtSn.xvg,IQR_outlier
O2Sn8Pt7_1000K_PtSn,O2Sn8Pt7,1000K,PtSn,26,2.65e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Sn8Pt7\1000K\T1000.r26.gpu0_msd_PtSn.xvg,IQR_outlier
O2Sn8Pt7_1000K_PtSn,O2Sn8Pt7,1000K,PtSn,8,9.43e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-2\O2Sn8Pt7\1000K\T1000.r8.gpu0_msd_PtSn.xvg,Intercept>10.0A²
O2Sn8Pt7_1000K_Sn,O2Sn8Pt7,1000K,Sn,8,1.086e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-3\O2Sn8Pt7\1000K\T1000.r8.gpu0_msd_Sn.xvg,Intercept>10.0A²
O2Sn8Pt7_1000K_Sn,O2Sn8Pt7,1000K,Sn,8,1.537e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-2\O2Sn8Pt7\1000K\T1000.r8.gpu0_msd_Sn.xvg,Intercept>10.0A²
