series,sn_num,temperature,temp_value,n_pt,n_sn,total_atoms,q6,q6_std,pt_q6,sn_q6,pt_cn_total,pt_pt_bonds_per_pt,pt_sn_bonds_per_pt,sn_cn_total,sn_sn_bonds_per_sn,sn_pt_bonds_per_sn,rg,d_sn_pt,n_runs
Pt8Snx,2,300K,300,8.0,2.0,10.0,0.24598138422439186,0.022218618243832068,0.0,0.0,3.562133050372723,0.33169740399629516,0.11356922730029521,3.6971855210943403,0.03148512374244679,1.8171076368047234,2.5303467821406564,0.2238079729034097,10
Pt8Snx,2,400K,400,8.0,2.0,10.0,0.24077538540718607,0.026276009712146615,0.0,0.0,3.5531497501876728,0.33119019222305596,0.1129535265504031,3.6774141966712603,0.031450673529180476,1.8072564248064495,2.533089702626611,0.22645032412796223,10
Pt8Snx,2,500K,500,8.0,2.0,10.0,0.23473186550583028,0.029506198605883577,0.0,0.0,3.5391472751595345,0.33023365585122866,0.11215975354371321,3.6517340611059375,0.03131097385355732,1.7945560566994114,2.5366488517917487,0.23277488910494198,10
Pt8Snx,2,600K,600,8.0,2.0,10.0,0.23060771855301881,0.03307730631613624,0.0,0.0,3.5175182104937486,0.328470948105252,0.11121882820646659,3.621253448292073,0.031125472842571417,1.7795012513034654,2.5487046236064814,0.2374468623026774,10
Pt8Snx,2,700K,700,8.0,2.0,10.0,0.20904951003814648,0.03706589468235298,0.0,0.0,3.4066404404485633,0.31728621520612754,0.10854383984994283,3.54444989637775,0.03552351058979013,1.7367014375990852,2.644149662817247,0.18913057905848735,10
Pt8Snx,2,800K,800,8.0,2.0,10.0,0.2053371525372984,0.04587341277730096,0.0,0.0,3.3103044918852844,0.31211226931604197,0.10167579216961872,3.3349401213572647,0.04065738596473288,1.6268126747138996,2.685557145018857,0.32837941547849675,10
Pt8Snx,2,900K,900,8.0,2.0,10.0,0.20989297683496785,0.049607030780535646,0.0,0.0,3.199832963735221,0.3010884818135019,0.09889063865340061,3.2345907172014834,0.0560912757555472,1.5612040828451943,2.771054620093726,0.3638717373489996,10
Pt8Snx,2,1000K,1000,8.0,2.0,10.0,0.1981447522936256,0.04826200722009065,0.0,0.0,3.2611292471399316,0.3082149134278614,0.09942624246463015,3.3074392138639546,0.06289972749789477,1.5908198794340824,2.7123926076464913,0.2882378100732022,10
Pt8Snx,2,1100K,1100,8.0,2.0,10.0,0.2006596736666269,0.04975815505799849,0.0,0.0,3.131949081541839,0.29991925362246374,0.09157438157026616,3.0585411900229653,0.05059218376037622,1.478678411251106,2.768379326706431,0.4528391486363127,10
Pt8Snx,3,200K,200,8.0,3.0,11.0,0.148527652345274,0.02199729479188636,0.0,0.0,3.563940841327191,0.2872345683406577,0.15825803682524114,3.8466225185671994,0.15681702209846282,1.125390484090604,2.6252923149574663,0.23218211155133497,7
