match_key,structure,system_type,system_id,temp,avg_energy,energy_std,delta,phase,run_id,cluster,phase_clustered
run3/pt8/pt8sn6-1-best/t1100.r27.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,1100,-95355.01595459,1.50772833,0.333889,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t200.r1.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,200,-95393.09653357,0.25735682,0.042992,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t300.r4.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.04190788,0.38948678,0.045004,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t500.r10.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.61909949,0.64593302,0.088663,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t400.r6.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.74170778,0.52642468,0.060485,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t300.r5.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,300,-95389.0533851,0.3896414,0.03436,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t500.r9.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.6261171,0.6386825,0.082405,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t500.r11.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,500,-95380.61389248,0.63973268,0.091379,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t700.r15.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.430235,0.99170609,0.144665,premelting,,0,partition2
run3/pt8/pt8sn6-1-best/t600.r14.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.39628382,0.78449528,0.089787,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t700.r17.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.10402857,0.91316859,0.126837,premelting,,1,partition1
run3/pt8/pt8sn6-1-best/t900.r22.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,900,-95363.88962326,1.21954789,0.201393,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t800.r18.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95368.02502007,1.10717761,0.222952,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t400.r7.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,400,-95384.75892871,0.51561524,0.08786,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t700.r16.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,700,-95372.17346435,0.95355109,0.186892,liquid,,0,partition2
run3/pt8/pt8sn6-1-best/t600.r13.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,600,-95376.39735597,0.78549412,0.088427,solid,,1,partition1
run3/pt8/pt8sn6-1-best/t800.r19.gpu0,Pt8sn6,Pt8SnX,Pt8sn6,800,-95368.090069,1.07197043,0.217456,liquid,,0,partition2
